hashed_maid,lat,lon,list_poi_name,list_unique_geo_behaviour,many_geo_behaviour
a0507731f1fe5495405444111240240a18735fb1897f41527626914be014e725,-6.9217,107.6071,"['Bri 1', 'Parkir Basement', 'Rollink', 'Washita Karya PT', 'Bank Mandiri Tbk PT Persero Asia Afrika Utara', 'Bank Rakyat Indonesia', 'Bank Rakyat Indonesia PT Persero Asia Afrika', 'Boseh registration booth', 'Ewka Music', 'Masjid Agung Raya Bandung', 'Alun- Alun Bandung', 'Alun-alun Selatan', 'Alun-alun utara']","['In-market Furniture Buyer', 'Auto Modification Enthusiasts', 'Parents', 'Frequent Gym Goers', 'In-Market Insurance Buyers', 'Affluent Consumers', 'Health Enthusiasts', 'Working Parents', 'In-Market Travel', 'In-market Property Buyers', 'Leisure Travellers', 'Home Movers', 'In-Market Academic Services', 'Job Seekers', 'Frequent Mall Shoppers', 'Frequent Local Mass Transit Traveler', 'In-Market Personal Loans', 'Tour Enthusiasts', 'Sports Enthusiasts', 'Frequent Luxury Shopper', 'New Home Buyer', 'Tourist Diners']","['Home Movers', 'In-Market Travel', 'In-Market Academic Services', 'Job Seekers', 'New Home Buyer']"
4ec6c92cb82d7e48d33d0a9b511b15e88d19883bae8a39b74751ed642b7b1c33,-7.2484,112.7419,"['Gudeg Pecel Bu Suharti', 'Bu Har ( Depot Gudeg)', 'Ahass', 'Sukucadang Toko', 'Sumber Agung', 'Suku Caang Toko', 'Utama Cell', 'Depot Nasi Campur Pojok Tambak Bayan', 'Depot Tambak Bayan', 'MIS HIDAYATUL WATHON', 'BCA Kcp Jagalan']","['Auto Modification Enthusiasts', 'In-market Electronics Buyer', 'Tech Enthusiasts', 'Parents', 'Parents of School Children', 'Foodies', 'Frequent Fast Food Diners', 'Frequent Pizza Restaurant Visitors', 'In-Market Insurance Buyers', 'Working Parents', 'In-Market Travel', 'Home Movers', 'In-Market Academic Services', 'Job Seekers', 'Frequent Mall Shoppers', 'In-Market Personal Loans', 'New Home Buyer', 'Tourist Diners', 'College Students']","['Home Movers', 'New Home Buyer', 'Foodies', 'Tourist Diners', 'Frequent Fast Food Diners']"
06708810380936111b96ac0e2f20546459ab5850a6d9bcc0483fd25f0cfea999,-6.2114,106.8446,"['Parisadha Buddha Dharma', 'Field Force', 'Bank Mandiri Tbk PT Persero', 'STAB Samantha Badra - NSI']","['Beer Enthusiasts', 'In-Market Academic Services', 'Job Seekers', 'Working Parents', 'In-Market Travel', 'In-Market Personal Loans', 'Home Movers']","['Home Movers', 'In-Market Academic Services', 'In-Market Travel', 'Job Seekers', 'Working Parents']"
1bb22d3db2e37a0b51cfb41d2e3c7f5a6d2b11cc6d6a3d477636718db480a3f4,-7.4604,112.4325,['Pmi /Utd Mojokerto'],"['Beauty Enthusiasts', 'Frequent Pharmacy shoppers', 'New Home Buyer', 'Frequent Gym Goers', 'Home Movers']","['Home Movers', 'Frequent Pharmacy shoppers', 'Beauty Enthusiasts', 'New Home Buyer', 'Frequent Gym Goers']"
6512830478055752a8afded06075018367308901b804fd72ebe5ae9c14c6e872,0.9167,104.4583,[],[],[]
e4612f34bd62839ebdccabb42527077ea0137e851ba860b05896a63ae0b85a81,-6.2352,106.9922,[],[],[]
0bec885f9c1af8872f5d534e2f8fdb0581378b5d8597a7442b518a1ec4ae085e,-7.2484,112.7419,"['Gudeg Pecel Bu Suharti', 'Bu Har ( Depot Gudeg)', 'Ahass', 'Sukucadang Toko', 'Sumber Agung', 'Suku Caang Toko', 'Utama Cell', 'Depot Nasi Campur Pojok Tambak Bayan', 'Depot Tambak Bayan', 'MIS HIDAYATUL WATHON', 'BCA Kcp Jagalan']","['Auto Modification Enthusiasts', 'In-market Electronics Buyer', 'Tech Enthusiasts', 'Parents', 'Parents of School Children', 'Foodies', 'Frequent Fast Food Diners', 'Frequent Pizza Restaurant Visitors', 'In-Market Insurance Buyers', 'Working Parents', 'In-Market Travel', 'Home Movers', 'In-Market Academic Services', 'Job Seekers', 'Frequent Mall Shoppers', 'In-Market Personal Loans', 'New Home Buyer', 'Tourist Diners', 'College Students']","['Home Movers', 'New Home Buyer', 'Foodies', 'Tourist Diners', 'Frequent Fast Food Diners']"
afb84763ce44a07f38645d416b771c8c3656404b6dd8f1643539eeea85b54452,-3.3219,114.5871,"['Air Mancur Menari', 'Pasar Kamboja']","['Beer Enthusiasts', 'Family Leisure Enthusiasts', 'Frequent Mall Shoppers', 'Frequent Luxury Shopper', 'Shopaholics', 'New Home Buyer', 'Tourist Diners', 'Frequent Gym Goers', 'Home Movers']","['New Home Buyer', 'Family Leisure Enthusiasts', 'Tourist Diners', 'Frequent Gym Goers', 'Beer Enthusiasts']"
2f2b5658afd242520d3ea413bf9125f5d5b1cdb836287cf8bbde330f4045e182,-6.2114,106.8446,"['Parisadha Buddha Dharma', 'Field Force', 'Bank Mandiri Tbk PT Persero', 'STAB Samantha Badra - NSI']","['Beer Enthusiasts', 'In-Market Academic Services', 'Job Seekers', 'Working Parents', 'In-Market Travel', 'In-Market Personal Loans', 'Home Movers']","['Home Movers', 'In-Market Academic Services', 'In-Market Travel', 'Job Seekers', 'Working Parents']"
7a0589ea0a1386260d66e59df80d7d256d7d5a6917ce447b2f27b9a34c7805ee,3.5847,98.6629,"['Masjid Mukhlisin', 'SMP SWT GAJAH MADA', 'SMP SWASTA SRIWIJAYA', 'Kelurahan Jati', 'ATM  Bukopin', 'SDN 060884', 'Makam', 'SMAS GAJAH MADA', 'SMKS RAKSANA 1', 'SMKS RAKSANA 2', 'SMKS TI GAJAH MADA', 'SMK SWASTA GAJAH MADA', 'Bank Bukopin', 'Pemakaman', 'SMAS RAKSANA', 'SMK 2 SWASTA MULIA MEDAN']","['In-Market Academic Services', 'Parents', 'Parents of School Children', 'Job Seekers', 'Working Parents', 'Frequent Local Mass Transit Traveler', 'In-Market Travel', 'New Home Buyer', 'College Students', 'In-Market Personal Loans', 'Home Movers']","['In-Market Academic Services', 'Working Parents', 'Parents', 'College Students', 'Parents of School Children']"
